Company,Job,Type,Salary,Link
ALPHA NET SOLUTIONS PTE. LTD.,Software Engineer,Permanent ...,"$7,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-alpha-net-solutions-0d11b9ade9f8446f76649b668be3caa0?source=MCF&event=Search
AICADIUM SINGAPORE PTE. LTD.,Software Engineer,Permanent ...,"$5,000to$9,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-aicadium-singapore-ba384e5572df7ac1365cf81fc0437a25?source=MCF&event=Search
UFINITY PTE LTD,Senior Software Engineer (Salesforce),Permanent ...,"$4,800to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-ufinity-015f2c1a5c88eb02f0cd881106c32729?source=MCF&event=Search
MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),Software Engineer,Permanent ...,"$5,000to$9,100",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-msd-international-gmbh-af09f082bfde48631512736ea63302ca?source=MCF&event=Search
MINDEN INTERNATIONAL PTE. LTD.,Software Engineer (Mobile),Permanent,"$7,000to$8,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-minden-international-9218236921fc46e4fe0ffb0d31ff6f12?source=MCF&event=Search
NUTEK PRIVATE LIMITED,Software Development Engineer,Permanent ...,"$3,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-development-engineer-nutek-47eed32e8c66539d91e3dab6ad75f207?source=MCF&event=Search
TAT HONG HOLDINGS LTD,Software Engineer,Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-tat-hong-holdings-10fcfe1ae6a801c6b87cecf1fac8acc6?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Software Engineer | Backend | Java,Permanent ...,"$5,000to$7,200",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-backend-java-scientec-consulting-bfccb19595f5f96a592d2df51693fdbe?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer C++,Permanent ...,"$5,000to$7,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-c-talent-trader-group-fed2cdd91b389864155add8d0232d205?source=MCF&event=Search
STAR INFORMATION SYSTEMS PTE. LTD.,Senior Software Engineer,Permanent,"$8,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-star-information-systems-2716a598c7719be6209365e1b2f73c55?source=MCF&event=Search
ATT INFOSOFT PTE. LTD.,Software Engineer,Permanent ...,"$6,000to$8,000",https://www.mycareersfuture.gov.sg/job/consulting/software-engineer-att-infosoft-f2fc35259e820d4fc0007feacea71640?source=MCF&event=Search
FCS CAREERS PTE. LTD.,Software Engineer,Permanent ...,"$5,000to$8,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-fcs-careers-8c2cff4d76423c8d71927934368b3f6e?source=MCF&event=Search
ST ENGINEERING DEFENCE AVIATION SERVICES PTE. LTD.,Software Engineer,Permanent ...,"$4,200to$5,400",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-st-engineering-defence-aviation-services-16e8f27be3a3e416a5ad5fe96cc3e1cf?source=MCF&event=Search
SEMICONDUCTOR TECHNOLOGIES & INSTRUMENTS PTE LTD,Software Engineer,Permanent,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-semiconductor-technologies-instruments-bb341a27c89a20511c1dcc7e1e11be01?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer C++,Permanent ...,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-c-talent-trader-group-46648616c03aa609f29eec821a006b02?source=MCF&event=Search
FCS CAREERS PTE. LTD.,Software Engineer,Permanent ...,"$5,000to$8,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-fcs-careers-a9870141458b9a617557f5c2f7555dec?source=MCF&event=Search
D-SIMLAB TECHNOLOGIES PTE. LTD.,Software Engineer,Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-d-simlab-technologies-664ba5a742952156dea9e7752f7ec83e?source=MCF&event=Search
INTEGRO TECHNOLOGIES PTE LTD,Software Engineer,Permanent ...,"$3,500to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-integro-technologies-3e509f055b8939b7ceb53cd557723f84?source=MCF&event=Search
MINDEN INTERNATIONAL PTE. LTD.,Software Engineer (Backend),Permanent,"$7,000to$8,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-minden-international-fbad9d919f700841baea2147428217d3?source=MCF&event=Search
UFINITY PTE LTD,Senior Software Engineer,Permanent ...,"$5,500to$6,400",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-ufinity-8d02020d04aa1060707e1bdce4dcbca0?source=MCF&event=Search
TECHKINETICS PRIVATE LIMITED,Software Engineer / Developer,Permanent ...,"$3,000to$5,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-developer-techkinetics-4f9e5ab0168aa7dcc07a15e2c3e4e627?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Software Engineer (ReactJS),Permanent ...,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-scientec-consulting-ddccb4499193cee99cc118fdac8d3a02?source=MCF&event=Search
D-SIMLAB TECHNOLOGIES PTE. LTD.,Senior Software Engineer,Permanent ...,"$6,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-d-simlab-technologies-cff4a4ec38ca1d88e8c848fa37503233?source=MCF&event=Search
TECHKINETICS PRIVATE LIMITED,Software Engineer / Developer,Permanent ...,"$1,000to$5,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-developer-techkinetics-9bca1fed0b73bf19a454c2afff54c989?source=MCF&event=Search
JOBTECH PTE. LTD.,Senior Product Software Engineer,Permanent ...,"$8,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-product-software-engineer-jobtech-afc7f579772affc2fc176c06dd876852?source=MCF&event=Search
ECHELON GLOBAL SERVICES PTE. LTD.,Software Engineer,Permanent ...,"$4,500to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-stratus-automation-0dd750fe6180631fd0150488bbd94207?source=MCF&event=Search
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Staff Software Engineer (C / C++),Permanent ...,"$7,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/staff-software-engineer-nextlabs-international-faf9a4c618e5ec9f3388c79e07fd6b15?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Backend Software Engineer | JAVA,Permanent ...,"$5,000to$7,500",https://www.mycareersfuture.gov.sg/job/information-technology/backend-software-engineer-java-scientec-consulting-caaff35c57c3451ca26aefa7c84eba58?source=MCF&event=Search
OBVIO HEALTH PTE. LTD.,Senior Software Engineer,Permanent ...,"$7,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-obvio-health-173be93cdf2d8e1775f4533df8aafc46?source=MCF&event=Search
FCS CAREERS PTE. LTD.,Software Engineer,Permanent ...,"$5,000to$8,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-fcs-careers-189643376436188a5af22e1a90d037ea?source=MCF&event=Search
ANOTECH ENERGY SINGAPORE PTE. LTD.,Senior Software Engineer (C# / .Net Core),Permanent,"$5,000to$9,000",https://www.mycareersfuture.gov.sg/job/consulting/senior-software-engineer-anotech-energy-singapore-0df054a488a50b1cd800930b206ebe77?source=MCF&event=Search
PLANT WERX PTE LTD,Software Engineer,Permanent,"$2,700to$3,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-plant-werx-a154f9953ee227b004623d4717a8fb55?source=MCF&event=Search
ALLIANCE MEDINET PTE. LTD.,Software Engineer / Senior,Permanent ...,"$4,500to$7,500",https://www.mycareersfuture.gov.sg/job/healthcare/software-engineer-senior-alliance-medinet-bd874a3ac65950788af8fab99ee019f6?source=MCF&event=Search
ANOTECH ENERGY SINGAPORE PTE. LTD.,Senior Software Engineer (Embedded C),Permanent,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-anotech-energy-singapore-074481fb0f439a44e0d6a03269b98091?source=MCF&event=Search
INTEGRO TECHNOLOGIES PTE LTD,Senior Software Engineer,Permanent ...,"$7,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-integro-technologies-bbfe20be83d365b39600a21879947315?source=MCF&event=Search
COMBUILDER PTE LTD,"Software Engineer (ASP.Net, C#)",Permanent ...,"$4,000to$5,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-combuilder-3deebc83ccf2b294e6abe17bbdde99ee?source=MCF&event=Search
ST ENGINEERING DEFENCE AVIATION SERVICES PTE. LTD.,UAV Software Engineer,Permanent ...,"$4,200to$5,400",https://www.mycareersfuture.gov.sg/job/information-technology/uav-software-engineer-st-engineering-defence-aviation-services-3cc33e542df8571e316c4546acae137e?source=MCF&event=Search
3 CUBED BUSINESS CONSULTING PTE. LTD.,Senior Software Engineer - Firmware,Permanent ...,"$6,000to$9,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-firmware-3-cubed-business-consulting-f461d19b99f1cd7b38239ff4b2907a30?source=MCF&event=Search
SYDROGEN ENERGY PTE. LTD.,Senior Engineer - Software,Permanent ...,"$5,000to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/senior-engineer-software-sydrogen-energy-f3a6deb3361fd3d2de9c2bba977397d4?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer C++,Permanent ...,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-c-talent-trader-group-404ce4234bdd91e2272a407d0aa19e06?source=MCF&event=Search
STAR CAREER CONSULTING PTE. LTD.,"Senior Software Engineer (C#, Python ) / Senior Application Engineer",Permanent ...,"$8,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-senior-application-engineer-star-career-consulting-be334c3fe319726ce77f9271b1fbd893?source=MCF&event=Search
STAR CAREER CONSULTING PTE. LTD.,"Senior Software Engineer (C#, Python ) / Senior Application Engineer",Permanent ...,"$8,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-senior-application-engineer-star-career-consulting-c30303cda2d8a01a9b7b7c39922fe20c?source=MCF&event=Search
ANOTECH ENERGY SINGAPORE PTE. LTD.,Junior Software Engineer,Permanent,"$3,500to$5,000",https://www.mycareersfuture.gov.sg/job/consulting/junior-software-engineer-anotech-energy-singapore-de0739a1b9f30dc910ddbd9e677019aa?source=MCF&event=Search
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Software Engineer (C / C++),Permanent ...,"$3,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-nextlabs-international-06aa11a5611e287814b3c3dff2fe2408?source=MCF&event=Search
WELEAD SOLUTIONS PRIVATE LIMITED,Software Test Engineer (Renewable Contract),Permanent ...,"$6,000to$7,000",https://www.mycareersfuture.gov.sg/job/consulting/software-test-engineer-welead-solutions-865587d93946627bb81825a02c666765?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Frontend Software Engineer | ReactJS,Permanent ...,"$5,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/frontend-software-engineer-reactjs-scientec-consulting-d65b537391d442968462608ac379b97d?source=MCF&event=Search
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Staff Software Engineer (Java),Permanent ...,"$7,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/staff-software-engineer-nextlabs-international-a92799d6cefbbeba0b6cee8e03013f3e?source=MCF&event=Search
TSTAR RECRUIT PTE. LTD.,Software Engineer (Apps),Permanent ...,"$3,800to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-tstar-recruit-34d6c072666ba52c761aae098d348abb?source=MCF&event=Search
UFINITY PTE LTD,Software Engineer (Operations),Permanent ...,"$3,500to$4,800",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-ufinity-ac7d9e69f9af43d19acb594338cf2762?source=MCF&event=Search
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Software Engineer (C / C++),Permanent ...,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-nextlabs-international-e2437f19ff5f849a58a41c566bf53e81?source=MCF&event=Search
RIGHT RECRUIT PTE. LTD.,Senior Software Engineer,Permanent ...,"$4,500to$6,000",https://www.mycareersfuture.gov.sg/job/design/senior-software-engineer-right-recruit-9e87fc0cd6779607005f6e48bbe1cfe6?source=MCF&event=Search
MAESTRO HUMAN RESOURCE PTE. LTD.,Software & Infra Engineer (AMK),Permanent ...,"$4,000to$4,600",https://www.mycareersfuture.gov.sg/job/information-technology/software-infra-engineer-maestro-human-resource-e9ec3d6351ba66e56eb98b4ac095e438?source=MCF&event=Search
RIGHT RECRUIT PTE. LTD.,Software Engineer,Permanent ...,"$4,000to$4,500",https://www.mycareersfuture.gov.sg/job/customer-service/software-engineer-right-recruit-0ca9d1f2ab35ad40d5f1792b050b071a?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Frontend Software Engineer | ReactJS,Permanent ...,"$5,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/frontend-software-engineer-reactjs-scientec-consulting-a25433c57f5e9416ff9771db8ac6c6db?source=MCF&event=Search
DYSON OPERATIONS PTE. LTD.,Machine Learning Software Engineer,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/machine-learning-software-engineer-dyson-operations-17622a261f55dbc156b73ef83bb383ff?source=MCF&event=Search
NCS COMMUNICATIONS ENGINEERING PTE. LTD.,Software Quality Assurance Engineer,Permanent ...,"$4,500to$9,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-quality-assurance-engineer-ncs-communications-engineering-d2fafd8d70e28b01da3e72c8625cf779?source=MCF&event=Search
ROCKWELL AUTOMATION ASIA PACIFIC BUSINESS CENTER PTE. LTD.,SENIOR SOFTWARE ENGINEER,Permanent ...,"$6,900to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-rockwell-automation-asia-pacific-business-center-e1e1d29726c9319572078547ee98d1bd?source=MCF&event=Search
STAR CAREER CONSULTING PTE. LTD.,"Senior Software Engineer (C#, Python ) / Senior Application Engineer",Permanent ...,"$8,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-senior-application-engineer-star-career-consulting-f8ac4c7d84be9f6e59b1cee3ef2db3bc?source=MCF&event=Search
STAR CAREER CONSULTING PTE. LTD.,"Senior Software Engineer (C#, Python ) / Senior Application Engineer",Permanent ...,"$8,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-senior-application-engineer-star-career-consulting-10dba3baa1300a14670d405c4d80fc08?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer / Senior Software Engineer (PC-based Equipment Programming),Permanent ...,"$4,500to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-senior-software-engineer-talent-trader-group-476551bc83f02aa81687f712850e4755?source=MCF&event=Search
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Senior Software Engineer (Java),Permanent ...,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-nextlabs-international-907901f45927fd99a731dcbd74b3a965?source=MCF&event=Search
ALLIANCE MEDINET PTE. LTD.,Senior / Software Engineer (PHP),Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-alliance-medinet-8303338ac20d5786bc4b0283c50671c9?source=MCF&event=Search
THALES DIS (SINGAPORE) PTE. LTD.,Software Engineer (Middleware),Permanent,"$5,500to$8,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-thales-dis-de444530f9aa018e37aa7c389aabcad8?source=MCF&event=Search
WIZVISION PTE. LTD.,Software Engineer (Java),Permanent,"$3,800to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-wizvision-18a1eec10902951eb4b3390615be340c?source=MCF&event=Search
RIE INK PTE. LTD.,Software Engineer (Team Lead),Permanent ...,"$3,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-rie-ink-829a60f82aa73efa4e3d2b97420efa61?source=MCF&event=Search
THALES DIS (SINGAPORE) PTE. LTD.,Software Engineer (Embedded),Permanent,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-thales-dis-550e843533f6ec3463274d1528c9da7d?source=MCF&event=Search
ACTIVATE INTERACTIVE PTE LTD,Software Quality Engineer,Permanent,"$4,500to$9,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-quality-engineer-activate-interactive-2260ad2ca6a6f0481942044b371c09db?source=MCF&event=Search
ACTIVATE INTERACTIVE PTE LTD,Quality Engineer (Software),Permanent,"$4,500to$9,000",https://www.mycareersfuture.gov.sg/job/information-technology/quality-engineer-activate-interactive-c59f0fc36b857bbd9b7d635ddb585d27?source=MCF&event=Search
FACTORY CHAIN PTE. LTD.,SOFTWARE ENGINEER,Permanent,"$3,000to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-factory-chain-85c42aa248f35395e977065ace147ea9?source=MCF&event=Search
BRAINDGE RECRUITMENT SOLUTIONS PTE. LTD.,Java Software Engineer,Permanent ...,"$5,000to$7,200",https://www.mycareersfuture.gov.sg/job/banking-finance/java-software-engineer-braindge-recruitment-solutions-345b94e17cff7636e764b8fd25cfdaa2?source=MCF&event=Search
OBVIO HEALTH PTE. LTD.,Software Quality Assurance Engineer,Permanent ...,"$4,500to$7,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-quality-assurance-engineer-obvio-health-dc9770b96c93e73f0e6323e6989c5ad4?source=MCF&event=Search
DYSON OPERATIONS PTE. LTD.,Embedded Software Engineer,Permanent,"$4,500to$9,000",https://www.mycareersfuture.gov.sg/job/engineering/embedded-software-engineer-dyson-operations-0d09f564f3c79d1155b12530eb1578b2?source=MCF&event=Search
CTC GLOBAL PTE. LTD.,Associate Software Engineer,Permanent ...,"$4,000to$7,500",https://www.mycareersfuture.gov.sg/job/information-technology/associate-software-engineer-ctc-global-562f1b4a25311d98410f2d7d5420d060?source=MCF&event=Search
MINDEN INTERNATIONAL PTE. LTD.,Senior Software Engineers (Mobile),Permanent,"$9,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineers-minden-international-c5f17f44782013ef58c96c561730b29c?source=MCF&event=Search
STAR CAREER CONSULTING PTE. LTD.,"Senior Software Engineer (C#, Python ) / Senior Application Engineer",Permanent ...,"$8,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-senior-application-engineer-star-career-consulting-5ad61c7845ceee2251b0ea947e3ac7e2?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Backend Software Engineer | Java,Permanent ...,"$5,000to$7,200",https://www.mycareersfuture.gov.sg/job/information-technology/backend-software-engineer-java-scientec-consulting-ba75535777b3bef8eb8a39f18dcad99e?source=MCF&event=Search
TALENTSIS PTE. LTD.,Software Engineer (Junior / Senior),Permanent ...,"$4,500to$6,700",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-talentsis-25ee1ae5bc3bb062338809d551a738a3?source=MCF&event=Search
MERRY ELECTRONICS (SINGAPORE) PTE. LTD.,Senior Software Engineer (PC Software),Permanent ...,"$4,500to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-merry-electronics-ca237da0e9f39fe240b37aa1b2fdc70f?source=MCF&event=Search
D-SIMLAB TECHNOLOGIES PTE. LTD.,Software Engineer (UI),Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-d-simlab-technologies-11f13bc469d85c6ae4833b2cb7aec08b?source=MCF&event=Search
ANOTECH ENERGY SINGAPORE PTE. LTD.,Software Engineer (VB Plugins),Permanent,"$3,000to$4,500",https://www.mycareersfuture.gov.sg/job/consulting/software-engineer-anotech-energy-singapore-0e633b3a42bd3fcd46e23a2070f113d6?source=MCF&event=Search
WIZVISION PTE. LTD.,Software Engineer (Java),Permanent,"$3,800to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-wizvision-f99fdc237ae7fa41bb0559d55880566c?source=MCF&event=Search
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,R&D EDA Software Engineer,Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/rd-eda-software-engineer-keysight-technologies-singapore-c0e75fcf3e47d4aeca2585d3765ba935?source=MCF&event=Search
MERRY ELECTRONICS (SINGAPORE) PTE. LTD.,Software Engineer (Embedded System),Permanent ...,"$4,500to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-merry-electronics-6c1aafc4db12bc29956b7180125fd7a5?source=MCF&event=Search
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,R&D EDA Software Engineer,Permanent ...,"$4,500to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/rd-eda-software-engineer-keysight-technologies-singapore-12bc755227e7fe130b18555ce4b3b895?source=MCF&event=Search
TRENDLINES MEDICAL SINGAPORE PTE. LTD.,AI / ML Software engineer,Permanent ...,"$4,000to$5,000",https://www.mycareersfuture.gov.sg/job/engineering/ai-ml-software-engineer-trendlines-medical-singapore-d09ac05d09cbc0cd54487d50983b2bfa?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer / Vision,Permanent ...,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-vision-talent-trader-group-7b087d7b7bea68fd976e3dcf15dcac03?source=MCF&event=Search
SLEEK TECH (PTE. LTD.),Software Dev Engineer in Test (SDET),Permanent ...,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-dev-engineer-test-sleek-tech-a9b31d837a1833d5bef8afd40b2d5496?source=MCF&event=Search
INCUBE8 PTE. LTD.,Software Engineer (Front-end),Permanent ...,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-incube8-afb52e04dd35f5b4ab9851484f52cecb?source=MCF&event=Search
NEXTLABS INTERNATIONAL PRIVATE LIMITED,Software Engineer (Java),Permanent ...,"$3,500to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-nextlabs-international-9bc746c954f3a97013bb6b603d3e12de?source=MCF&event=Search
ALPHAWAVE TECHNOLOGY (S) PTE LTD,Software Engineer (.NET),Permanent,"$3,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-alphawave-technology-9215d2b6ef61b81bcc9531033693d6c5?source=MCF&event=Search
ALPHAWAVE TECHNOLOGY (S) PTE LTD,Software Engineer (.NET),Permanent,"$3,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-alphawave-technology-49d96fc1a39b1b88f63c40e115b9146c?source=MCF&event=Search
PLANT WERX PTE LTD,Asst Software Engineer,Permanent,"$2,500to$3,000",https://www.mycareersfuture.gov.sg/job/engineering/asst-software-engineer-plant-werx-6f7ab0e08f3fd03aefd0fff57cb4ed31?source=MCF&event=Search
